,OBJECTID_x,NGBRHD2,medhhinc,unemp,famfpl185,chldfpl185,chld_3_4_preschl,ed_lt_hs,ed_hsgrad,ed_partcoll,ed_collgrad,ed_hs,OBJECTID_y,life,cancer_mort,heart_mort,alzeihmers_mort,stroke_mort,respiratory_mort,injury_mort,diabetes_mort,hyper_mort,flu_pneum_mort,birth,birth_lw,birth_pt,preg_overobese,preg_prenatal,birth_teen,smoker,obese_adult,overobese_teen,overobese_child
50,55.0,Evergreen East,156210.0,9.0,8.0,11.0,75.0,8.0,10.0,23.0,59.0,18.0,55.0,85.0,129.6,107.3,28.3,26.5,29.05,27.2,24.4,19.9,18.6,8.4,8.0,9.0,29.0,75.0,5.2,5,16,11% to 17%,0% to 6%
51,56.0,Evergreen North,98641.0,10.0,17.0,28.0,39.0,20.0,19.0,31.0,31.0,39.0,56.0,84.0,138.3,107.7,39.0,45.2,29.05,27.0,37.9,19.9,18.6,12.0,9.0,11.0,38.0,70.0,16.2,10,19,26% to 38%,10% to 15%
52,57.0,Alum Rock East,59695.0,13.0,28.0,41.0,65.0,30.0,31.0,26.0,14.0,61.0,57.0,82.0,146.0,109.6,38.5,29.8,38.4,27.2,50.8,19.9,18.6,17.1,6.0,8.0,53.0,68.0,38.5,13% to 16%,23% to 31%,26% to 38%,15% to 21%
53,58.0,Guadalupe / Washington,44387.0,10.0,46.0,68.0,65.0,48.0,26.0,16.0,11.0,74.0,58.0,81.0,146.5,131.2,39.0,29.8,29.05,51.2,31.9,19.9,18.6,20.2,5.0,9.0,57.0,74.0,60.4,13% to 16%,23% to 31%,26% to 38%,15% to 21%
54,59.0,Hayes / Tradewinds,76237.0,7.0,26.0,33.0,65.0,15.0,20.0,33.0,31.0,35.0,59.0,82.0,156.2,150.5,39.0,29.8,29.05,27.2,31.9,19.9,18.6,14.1,7.0,9.0,46.0,72.0,29.1,13% to 16%,23% to 31%,22% to 26%,15% to 21%
55,60.0,Mayfair,47063.0,13.0,45.0,53.0,65.0,37.0,26.0,23.0,13.0,63.0,60.0,82.0,155.2,122.0,39.0,29.8,29.05,27.2,45.7,19.9,18.6,18.8,5.0,10.0,52.0,70.0,51.8,11% to 13%,23% to 31%,26% to 38%,15% to 21%
56,61.0,North San Jose,102715.0,7.0,14.0,25.0,61.0,8.0,12.0,19.0,61.0,20.0,61.0,82.0,190.7,116.5,39.0,29.8,29.05,27.2,31.9,19.9,18.6,24.7,9.0,9.0,31.0,76.0,23.6,11,16,17% to 22%,8% to 10%
57,62.0,North Willow Glen / Gardner,66423.0,6.0,21.0,37.0,65.0,11.0,17.0,29.0,44.0,28.0,62.0,83.0,144.8,124.7,41.8,29.8,29.05,27.2,31.9,19.9,18.6,16.0,6.0,10.0,40.0,73.0,14.5,13% to 16%,16% to 20%,11% to 17%,6% to 8%
58,63.0,Parkview / Vista Park,86137.0,7.0,14.0,22.0,65.0,13.0,16.0,34.0,38.0,29.0,63.0,83.0,148.4,140.3,39.0,29.8,29.05,25.5,31.9,19.9,18.6,14.9,7.0,9.0,42.0,73.0,14.5,11% to 13%,20% to 23%,17% to 22%,15% to 21%
59,64.0,Rose Garden,99510.0,8.0,13.0,22.0,65.0,8.0,14.0,25.0,54.0,22.0,64.0,82.0,145.3,140.0,40.8,27.6,48.0,23.1,31.9,19.9,23.2,13.6,7.0,9.0,38.0,73.0,7.4,12,16,11% to 17%,6% to 8%
